node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
44,53,121.096247,REGISTERED,5,4896.191191983839
44,52,191.578961,CLUSTER_HEAD,,308.44027177362756
44,55,157.290761,REGISTERED,,352.43476743124296
44,65,206.265715,ROUTER,,297.7153702718647
44,64,178.963054,REGISTERED,,316.1583768189969
44,63,163.501922,REGISTERED,,316.1922983302785
44,62,228.574094,ROUTER,,316.1923529895495
45,46,115.913460,REGISTERED,3,4987.4343056362295
45,56,109.391327,CLUSTER_HEAD,4,4912.434570037847
45,55,82.875174,REGISTERED,5,4952.434782828974
45,54,82.549824,CLUSTER_HEAD,6,4915.303975195385
45,57,178.563998,REGISTERED,,312.4344409648134
45,47,200.840904,ROUTER,,287.43435552027586
45,65,199.002219,ROUTER,,297.7153702718647
45,53,142.171765,REGISTERED,,396.1911305095346
45,64,170.482596,REGISTERED,,316.1584065596117
45,63,174.705497,REGISTERED,,216.19234808027664
45,66,186.074612,REGISTERED,,332.43472612842527
45,23,218.950847,ROUTER,,399.31081393170035
46,47,57.853043,ROUTER,3,4987.434321923741
46,57,88.676138,REGISTERED,4,4912.434460468279
46,56,88.024597,CLUSTER_HEAD,4,4912.434548671117
46,48,199.482404,CLUSTER_HEAD,,307.4352873922152
46,58,132.926059,REGISTERED,,213.4955241479195
46,16,192.812301,CLUSTER_HEAD,,275.53949054266144
46,66,189.839219,REGISTERED,,232.43472409206876
46,55,167.793690,REGISTERED,,252.434779722894
46,65,195.639203,ROUTER,,297.7153614340751
46,67,179.387686,REGISTERED,,232.43475213788088
46,54,198.463284,REGISTERED,,215.3039751953853
47,48,90.016271,CLUSTER_HEAD,4,4937.436125812181
47,57,46.696617,REGISTERED,4,4912.43441848876
47,56,91.449577,CLUSTER_HEAD,4,4912.434552096098
47,58,75.073016,REGISTERED,5,4913.495524147919
47,66,147.859698,REGISTERED,,232.43472409206876
47,67,137.408166,REGISTERED,,232.43475213788088
47,59,162.747009,ROUTER,,367.4355263157354
47,49,146.547445,REGISTERED,,267.43540271064626
47,68,189.955273,REGISTERED,,407.4371327693401
47,55,171.218670,REGISTERED,,252.434779722894
47,65,199.064183,ROUTER,,297.7153614340751
47,35,231.467097,CLUSTER_HEAD,,276.18948597736846
47,16,243.585293,CLUSTER_HEAD,,275.53949054266144
47,25,232.099593,REGISTERED,,291.0884412737794
48,57,110.806267,REGISTERED,4,4912.434482598408
48,49,56.531174,REGISTERED,5,4967.435402710646
48,59,87.351931,ROUTER,5,4967.435525993674
48,69,160.617859,CLUSTER_HEAD,,287.43676561927845
48,58,59.055900,REGISTERED,5,4913.4955081308035
48,68,173.938157,REGISTERED,,407.4371327693401
48,67,201.517815,REGISTERED,,232.43475213788088
48,66,211.969348,REGISTERED,,232.43472409206876
49,59,51.302401,ROUTER,5,4967.435489944144
49,58,91.411626,REGISTERED,5,4913.495540486529
49,57,159.524800,REGISTERED,,412.434439905317
49,69,122.280178,CLUSTER_HEAD,6,4987.436814633528
49,68,206.293883,REGISTERED,,407.4371327693401
49,67,176.011636,REGISTERED,,332.4347460263428
50,51,102.411032,REGISTERED,5,4988.440155197011
50,60,60.967157,ROUTER,6,4908.441290229893
50,61,111.391752,ROUTER,6,4908.441391079082
50,70,129.199244,CLUSTER_HEAD,,328.4425681596473
50,52,186.453263,CLUSTER_HEAD,,408.4402376802778
50,62,203.653352,ROUTER,,316.1923377733028
50,71,213.331309,CLUSTER_HEAD,,328.4428542633133
50,42,202.653342,REGISTERED,,316.1909678989926
51,52,83.608775,CLUSTER_HEAD,5,4908.440246227541
51,60,110.508193,ROUTER,6,4908.441339770928
51,61,80.720609,ROUTER,6,4908.441360407939
51,62,172.982210,ROUTER,,316.1923377733028
51,70,178.740280,CLUSTER_HEAD,,328.4425681596473
51,71,182.660167,CLUSTER_HEAD,,328.4428542633133
51,63,179.658925,REGISTERED,,316.1923519747533
51,33,179.918359,REGISTERED,,380.599580258193
51,53,180.989463,REGISTERED,,396.1911682682812
51,44,238.024961,REGISTERED,,416.19017645991113
52,53,97.380688,REGISTERED,5,4896.191168268281
52,61,75.061511,ROUTER,6,4908.441354748841
52,62,85.637249,ROUTER,6,4916.192331148951
52,63,96.050150,REGISTERED,6,4916.1923519747525
52,71,177.001069,CLUSTER_HEAD,,328.4428542633133
52,73,161.254989,REGISTERED,,336.1597855180668
52,72,164.890123,CLUSTER_HEAD,,336.1925625231988
