source_id,target_id,distance
9,79,563.949075
9,80,871.273652
9,81,819.743026
9,82,776.461663
9,83,746.829812
9,84,688.071896
9,85,676.249412
9,86,614.038203
9,87,621.765386
9,88,627.916115
9,89,625.407718
9,90,933.445201
9,91,846.421047
9,92,828.861929
9,93,784.209887
9,94,763.286443
9,95,738.687812
9,96,714.266375
9,97,705.677352
9,98,674.093008
9,99,699.366953
10,11,46.701317
10,12,141.011215
10,13,205.413177
10,14,313.773626
10,15,346.750098
10,16,464.330999
10,17,530.394898
10,18,581.803209
10,19,647.405432
10,20,53.910793
10,21,87.816297
10,22,144.510897
10,23,235.035805
10,24,319.698888
10,25,385.731384
10,26,431.695018
10,27,536.381220
10,28,594.653109
10,29,671.546278
10,30,133.688601
10,31,160.116912
10,32,199.592393
10,33,256.223841
10,34,341.906571
10,35,390.975176
10,36,473.327475
10,37,534.786346
10,38,621.935810
10,39,696.445349
10,40,216.763908
10,41,240.806392
10,42,272.571794
10,43,312.773750
10,44,365.651420
10,45,431.103068
10,46,524.218024
10,47,581.306782
10,48,660.456577
10,49,716.602519
10,50,309.465799
10,51,278.105852
10,52,341.355114
10,53,401.286000
10,54,425.129007
10,55,487.029073
10,56,540.167270
10,57,596.455062
10,58,655.332333
10,59,739.376484
10,60,360.400103
10,61,358.197441
10,62,425.127695
10,63,425.217876
10,64,458.754547
10,65,540.997033
10,66,589.848490
10,67,676.053979
10,68,726.521338
10,69,797.274600
10,70,428.604787
10,71,460.120901
10,72,502.738601
10,73,498.717666
10,74,564.750179
10,75,605.534471
10,76,646.544784
10,77,721.041916
10,78,770.514766
10,79,837.994113
10,80,494.932055
10,81,519.136885
10,82,552.961813
10,83,592.737068
10,84,631.365314
10,85,672.513380
10,86,705.456173
10,87,785.373536
10,88,851.939144
10,89,884.417770
10,90,591.854398
10,91,581.243830
10,92,638.580999
10,93,653.540693
10,94,709.933760
10,95,721.002881
10,96,779.196324
10,97,845.111477
10,98,877.113375
10,99,950.280591
11,12,95.136928
11,13,159.400122
11,14,267.247696
11,15,300.198157
11,16,417.748219
11,17,483.876817
11,18,535.610717
11,19,600.918213
11,20,69.946437
11,21,63.195521
