timestamp,node_id,node_addr,node_role,message
23.362325,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.362288970243814} dest: [255,255] package type: PROBE"
23.362366,71,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.362288970243814} dest: [255,255] package type: PROBE"
23.362368,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.362288970243814} dest: [255,255] package type: PROBE"
23.883991,72,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.883914641849394} dest: [255,255] package type: PROBE"
23.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.883914641849394} dest: [255,255] package type: PROBE"
23.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.883914641849394} dest: [255,255] package type: PROBE"
23.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.883914641849394} dest: [255,255] package type: PROBE"
24.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.283575348149526} dest: [255,255] package type: PROBE"
24.362325,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.362288970243814} dest: [255,255] package type: PROBE"
24.362366,71,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 24.362288970243814} dest: [255,255] package type: PROBE"
